Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.8,1096917129,4389,249924.2,6290.0,4450,142375346,3540160.4,cudaLaunchKernel
5.4,63745173,14,4553226.6,4759131.0,2210283,7799627,1734494.0,cuLibraryLoadData
0.4,5081308,9,564589.8,592079.0,7700,1025906,274361.9,cudaMalloc
0.4,4935364,1,4935364.0,4935364.0,4935364,4935364,0.0,cudaGetDeviceProperties
0.4,4546708,1,4546708.0,4546708.0,4546708,4546708,0.0,cudaFree
0.2,2943754,1,2943754.0,2943754.0,2943754,2943754,0.0,cudaHostAlloc
0.1,1172367,110,10657.9,8575.0,6300,37320,5255.7,cudaMemcpyAsync
0.1,1165817,2,582908.5,582908.5,408766,757051,246274.7,cudaDeviceSynchronize
0.0,484016,88,5500.2,6310.5,3350,15240,2432.1,cudaMemsetAsync
0.0,422296,66,6398.4,6165.5,5720,11960,1163.0,cudaStreamSynchronize
0.0,224534,838,267.9,200.0,140,12710,512.0,cuGetProcAddress_v2
0.0,208883,4,52220.8,47190.5,22841,91661,30327.4,cuInit
0.0,106233,14,7588.1,9160.5,840,10381,3664.4,cuLibraryGetKernel
0.0,106052,62,1710.5,835.5,540,26321,3498.3,cudaStreamIsCapturing
0.0,27880,18,1548.9,540.0,510,5670,1930.2,cudaEventCreateWithFlags
0.0,13780,3,4593.3,610.0,210,12960,7248.5,cuModuleGetLoadingMode
0.0,2510,2,1255.0,1255.0,520,1990,1039.4,cudaGetDriverEntryPoint
