Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
31.5,60415206,1,60415206.0,60415206.0,60415206,60415206,0.0,PushPop,:decode_profile_window
6.8,13103478,66,198537.5,10250.0,9610,12340195,1517559.0,PushPop,CCCL:cub::DeviceReduce::Sum
5.8,11210168,1,11210168.0,11210168.0,11210168,11210168,0.0,PushPop,:reference::rope_gqa_decode_b32
4.7,8949764,1,8949764.0,8949764.0,8949764,8949764,0.0,PushPop,:custom::sampling_decode_b32
4.6,8761612,1,8761612.0,8761612.0,8761612,8761612,0.0,PushPop,:reference::sampling_decode_b32
3.2,6166293,1,6166293.0,6166293.0,6166293,6166293,0.0,PushPop,:reference::kv_append_decode_b32
2.7,5173748,1,5173748.0,5173748.0,5173748,5173748,0.0,PushPop,:reference::rms_quant_decode_b32
1.9,3684725,1,3684725.0,3684725.0,3684725,3684725,0.0,PushPop,:reference::residual_rms_decode_b32
1.8,3449952,1,3449952.0,3449952.0,3449952,3449952,0.0,PushPop,:reference::residual_rms_decode_b1
1.3,2411186,1,2411186.0,2411186.0,2411186,2411186,0.0,PushPop,:reference::swiglu_decode_b32
1.2,2389536,1,2389536.0,2389536.0,2389536,2389536,0.0,PushPop,:reference::swiglu_decode_b1
1.1,2021513,88,22971.7,19725.0,17330,217493,22186.1,PushPop,CCCL:cub::DeviceScan::InclusiveSumByKey
0.7,1335722,66,20238.2,17985.5,17370,125321,13488.1,PushPop,CCCL:cub::DeviceSelect::Flagged
0.6,1123337,1,1123337.0,1123337.0,1123337,1123337,0.0,PushPop,:custom::residual_rms_decode_b32
0.5,973594,1,973594.0,973594.0,973594,973594,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::0
0.5,969155,1,969155.0,969155.0,969155,969155,0.0,PushPop,:custom::residual_rms_decode_b1
0.5,944794,1,944794.0,944794.0,944794,944794,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::8
0.5,924944,1,924944.0,924944.0,924944,924944,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::3
0.5,922194,1,922194.0,922194.0,922194,922194,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::4
0.5,920464,1,920464.0,920464.0,920464,920464,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::10
0.5,913154,1,913154.0,913154.0,913154,913154,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::2
0.5,912274,1,912274.0,912274.0,912274,912274,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::11
0.5,911984,1,911984.0,911984.0,911984,911984,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::1
0.5,911843,1,911843.0,911843.0,911843,911843,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::7
0.5,909044,1,909044.0,909044.0,909044,909044,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::6
0.5,908704,1,908704.0,908704.0,908704,908704,0.0,PushPop,:custom_iteration::sampling_decode_b32::0
0.5,908314,1,908314.0,908314.0,908314,908314,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::9
0.5,888484,1,888484.0,888484.0,888484,888484,0.0,PushPop,:reference_iteration::rope_gqa_decode_b32::5
0.4,856463,1,856463.0,856463.0,856463,856463,0.0,PushPop,:custom_iteration::sampling_decode_b32::11
0.4,853253,1,853253.0,853253.0,853253,853253,0.0,PushPop,:reference_iteration::sampling_decode_b32::7
0.4,842232,1,842232.0,842232.0,842232,842232,0.0,PushPop,:custom::rope_gqa_decode_b32
0.4,832583,1,832583.0,832583.0,832583,832583,0.0,PushPop,:custom::rms_quant_decode_b32
0.4,764492,1,764492.0,764492.0,764492,764492,0.0,PushPop,:reference::small_n_linear_b1
0.4,757771,1,757771.0,757771.0,757771,757771,0.0,PushPop,:custom::swiglu_decode_b1
0.4,753701,1,753701.0,753701.0,753701,753701,0.0,PushPop,:reference_iteration::sampling_decode_b32::0
0.4,751471,1,751471.0,751471.0,751471,751471,0.0,PushPop,:custom::kv_append_decode_b32
0.4,737552,1,737552.0,737552.0,737552,737552,0.0,PushPop,:custom::swiglu_decode_b32
0.4,724461,1,724461.0,724461.0,724461,724461,0.0,PushPop,:custom_iteration::sampling_decode_b32::5
0.4,715271,1,715271.0,715271.0,715271,715271,0.0,PushPop,:reference_iteration::sampling_decode_b32::8
0.4,711141,1,711141.0,711141.0,711141,711141,0.0,PushPop,:custom_iteration::sampling_decode_b32::9
0.4,710041,1,710041.0,710041.0,710041,710041,0.0,PushPop,:custom_iteration::sampling_decode_b32::1
0.4,709321,1,709321.0,709321.0,709321,709321,0.0,PushPop,:custom_iteration::sampling_decode_b32::4
0.4,709001,1,709001.0,709001.0,709001,709001,0.0,PushPop,:reference_iteration::sampling_decode_b32::1
0.4,708171,1,708171.0,708171.0,708171,708171,0.0,PushPop,:custom_iteration::sampling_decode_b32::6
0.4,706750,1,706750.0,706750.0,706750,706750,0.0,PushPop,:custom_iteration::sampling_decode_b32::2
0.4,704640,1,704640.0,704640.0,704640,704640,0.0,PushPop,:reference_iteration::sampling_decode_b32::5
0.4,699331,1,699331.0,699331.0,699331,699331,0.0,PushPop,:custom_iteration::sampling_decode_b32::8
0.4,696651,1,696651.0,696651.0,696651,696651,0.0,PushPop,:reference_iteration::sampling_decode_b32::11
0.4,695261,1,695261.0,695261.0,695261,695261,0.0,PushPop,:reference_iteration::sampling_decode_b32::4
