Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.0,153543239,4389,34983.6,2733.0,1800,28009052,589119.5,cudaLaunchKernel
18.9,38129922,2,19064961.0,19064961.0,8779150,29350772,14546333.4,cudaDeviceSynchronize
3.5,7015977,2,3507988.5,3507988.5,687942,6328035,3988148.0,cudaFree
0.5,1098107,66,16638.0,5099.0,4941,547574,70697.2,cudaStreamSynchronize
0.4,751043,9,83449.2,99168.0,2163,139219,43209.3,cudaMalloc
0.3,579028,110,5263.9,4466.5,3256,22957,2758.9,cudaMemcpyAsync
0.3,547683,1,547683.0,547683.0,547683,547683,0.0,cudaHostAlloc
0.1,255486,88,2903.3,3219.0,1256,19136,2445.3,cudaMemsetAsync
0.0,93097,768,121.2,109.0,72,560,48.9,cuGetProcAddress
0.0,33577,62,541.6,358.0,272,6001,759.4,cudaStreamIsCapturing_v10000
0.0,7456,18,414.2,274.5,245,1898,389.8,cudaEventCreateWithFlags
0.0,2234,2,1117.0,1117.0,603,1631,726.9,cuInit
0.0,1017,3,339.0,121.0,108,788,388.9,cuModuleGetLoadingMode
