PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
78959,78959,0,44,44,15711472.2,21612865.0,394059,29378080,10790625.2,4063.6,3967.5,3194,14411,1686.2,15286720.6,21229480.0,592,28852755,10821286.1,420688.0,380736.5,376752,1281195,159430.9,cudaLaunchKernel,"void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)2, (int)4, (bool)0, (bool)1, cublasGemvParams<cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13, T6, T6)"
78959,78959,0,44,44,10330070.7,9388724.0,534052,28033977,5771119.0,639337.7,2697.0,2556,28009052,4222096.4,9686920.0,8827559.5,20477,20811657,5298387.8,3813.0,3776.0,3743,4448,117.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
78959,78959,0,44,43,10003225.5,9459262.0,708518,20888967,5068575.4,231778.5,2224.0,2129,10095215,1521549.7,9977893.3,8970427.0,685219,20866089,5128715.1,20324.3,20607.5,19039,20927,492.9,cudaLaunchKernel,"void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)32, (int)4, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)"
78959,78959,0,44,44,9845991.6,8902415.0,691455,20882889,5163703.3,82631.0,2687.5,2501,3513390,529234.7,9758746.4,8895186.5,542,20875348,5289483.7,4614.3,4608.0,3840,4960,140.4,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)6, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
78959,78959,0,44,44,9804104.7,8829623.0,520236,20813615,5136367.5,119115.2,2994.0,2847,5101404,768576.3,9677056.8,8818579.5,259,20802854,5299764.5,7932.6,7967.0,6047,8352,326.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
78959,78959,0,44,44,9775125.1,8873332.0,627717,20854916,5224042.9,31407.7,2691.5,2557,1239043,186309.9,9741071.0,8867944.0,511733,20849536,5271929.1,2646.4,2624.0,2560,2944,70.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
78959,78959,0,44,44,9772783.4,8892245.5,616488,20873345,5260717.4,2911.8,2209.0,2029,15043,2630.4,9551049.4,8674204.5,268363,20655439,5266330.8,218822.2,216439.0,212599,334194,17883.4,cudaLaunchKernel,"void at::native::mbtopk::gatherTopK<float, unsigned int, (int)2>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, unsigned int, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, unsigned int, unsigned int, T1 *, unsigned int *, unsigned int *, unsigned int)"
78959,78959,0,44,44,9750767.7,8885843.0,61008,20867539,5288606.8,3917.2,3278.5,3120,24376,3188.7,9743887.8,8879321.0,33816,20860942,5289723.2,2962.7,2944.0,2816,3168,59.5,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
78959,78959,0,44,44,9735943.2,8865857.5,426324,20847150,5276583.0,3270.7,2723.0,2636,18481,2405.3,9728777.5,8858950.5,403523,20840553,5277509.7,3895.1,3872.0,3807,4320,100.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)], std::array<char *, (unsigned long)4>>(int, T2, T3)"
78959,78959,0,44,43,9719756.8,8791226.0,434215,20775210,5188303.0,77179.3,2912.0,2713,3264669,491707.9,9862160.0,8871446.0,425762,20767785,5152420.9,4594.7,4607.0,3456,4832,187.1,cudaLaunchKernel,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)8>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
78959,78959,0,88,88,9708498.8,8840424.5,11299,20841731,5246679.5,14645.4,2541.5,2307,1058531,112558.6,9689181.9,8833215.5,1665,20834007,5268055.3,4671.5,4976.0,4064,5472,519.3,cudaLaunchKernel,"void at::native::tensor_kernel_scan_innermost_dim<float, std::plus<float>>(T1 *, const T1 *, unsigned int, unsigned int, unsigned int, T1, T2)"
78959,78959,0,44,44,9707859.8,8847433.5,16557,20830847,5296448.4,3018.3,2628.5,2480,12236,1476.7,9701130.3,8840996.0,1249,20824495,5297052.1,3711.2,3760.0,3072,3904,140.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,88,87,9705168.6,8847310.0,12025,20862781,5265715.7,3335.1,2763.0,2572,43362,4336.7,9808450.4,8888824.0,1869,20854553,5191756.5,4896.9,5024.0,4160,5759,683.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::CompareFunctor<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
78959,78959,0,44,44,9660453.2,8804582.5,38028,20788163,5302099.7,3021.5,2340.0,2237,28284,3911.0,9649423.9,8794186.0,3728,20777891,5303256.5,8007.7,8063.0,6016,8287,316.2,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4, (int)4>>(T3)"
78959,78959,0,44,44,9659800.8,8802970.0,56905,20786555,5300555.3,4320.6,3172.5,3031,48999,6902.0,9647693.7,8792069.5,1922,20775591,5302579.4,7786.5,7807.5,5984,8096,315.3,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
78959,78959,0,44,44,9653307.7,8798096.5,17848,20782015,5303417.0,3024.1,2624.5,2509,12887,1632.4,9646800.0,8791870.5,2113,20775973,5304046.1,3483.5,3488.0,2848,3648,106.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,44,44,9560697.7,8680798.0,312836,20666062,5263251.6,2111.8,1910.5,1835,7394,850.4,9555584.6,8675815.5,302466,20661246,5263591.7,3001.3,2976.0,2944,3104,43.4,cudaLaunchKernel,"void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsigned int, unsigned int *)"
78959,78959,0,88,88,9558717.7,8680609.0,281441,20667525,5235279.2,2234.8,2093.0,1969,5479,494.5,9549768.3,8671830.5,275020,20656182,5235286.2,6714.6,5279.5,4192,9632,2486.2,cudaLaunchKernel,"void at_cuda_detail::cub::DeviceScanByKeyKernel<at_cuda_detail::cub::DeviceScanByKeyPolicy<at_cuda_detail::cub::TransformInputIterator<unsigned int, at::native::mbtopk::BlockIdxToKey, at_cuda_detail::cub::CountingInputIterator<unsigned int, unsigned int>, long>, unsigned int *, at_cuda_detail::cub::NullType>::Policy520, at_cuda_detail::cub::TransformInputIterator<unsigned int, at::native::mbtopk::BlockIdxToKey, at_cuda_detail::cub::CountingInputIterator<unsigned int, unsigned int>, long>, unsigned int *, unsigned int *, at_cuda_detail::cub::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, at_cuda_detail::cub::Equality, at_cuda_detail::cub::Sum, at_cuda_detail::cub::NullType, int>(T2, T3, T4, T5, int, T6, T7, T8, T9)"
78959,78959,0,88,88,9556248.8,8677317.5,280758,20663043,5234456.4,2169.8,2037.0,1863,7044,616.1,9552027.5,8673316.0,276522,20659045,5234675.7,2051.5,2080.0,1920,2496,118.8,cudaLaunchKernel,"void at_cuda_detail::cub::DeviceScanInitKernel<at_cuda_detail::cub::ReduceByKeyScanTileState<unsigned int, int, (bool)1>>(T1, int)"
78959,78959,0,176,176,9450180.5,8569481.0,96171,20664905,5218168.7,2170.8,1966.0,1800,18113,1421.4,9438454.4,8557898.0,76346,20653572,5218432.4,9555.3,9472.0,9183,10592,251.0,cudaLaunchKernel,"void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned int *, unsigned int, int, bool, unsigned int *, T2 *, unsigned int *, T1 *, unsigned int)"
78959,78959,0,176,176,9442736.6,8561708.0,101534,20657254,5217952.6,2328.2,2069.0,1904,18696,1756.1,9369180.4,8485598.5,2521,20588141,5218177.6,71228.1,68525.5,65085,84028,6168.6,cudaLaunchKernel,"void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, (int)2>(at::cuda::detail::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, T3 *, short *)"
78959,78959,0,44,43,9314906.1,8361109.5,185980,20340505,5116383.4,100058.9,2872.5,2656,4271471,643489.0,9426058.8,8437794.0,178355,20335215,5117715.4,3020.3,2528.0,2336,13728,2231.6,cudaLaunchKernel,"void at::native::mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)"
78959,78959,0,66,66,6523740.3,5394665.5,11351,20804539,6231154.7,3692.4,2778.0,2507,27620,3659.8,6511286.9,5386849.5,2186,20796908,6235851.3,8760.9,5216.0,5087,20320,5149.7,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
78959,78959,0,66,66,6248259.6,4979264.0,8967,20111681,5934672.0,52104.9,2990.5,2581,3222208,396220.8,6117980.0,4890621.5,326,20023890,5951083.3,78174.7,84877.0,2304,975544,124954.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,88,87,5043837.8,930541.0,8621,20808619,6029920.5,92425.8,2758.0,2437,7867324,838333.9,5003731.0,878791.0,1751,20802223,6057999.4,4543.5,3919.5,3360,7360,1147.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,220,220,2153632.3,85921.5,7350,20837070,4483568.7,27000.3,2482.5,2231,5349371,360474.8,2122572.2,78914.0,707,20831126,4480906.6,4059.8,3391.0,2176,13823,3023.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
78959,78959,0,1,1,2102249.0,2102249.0,2102249,2102249,0.0,2097891.0,2097891.0,2097891,2097891,0.0,262.0,262.0,262,262,0.0,4096.0,4096.0,4096,4096,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,44,44,1362604.7,1127384.5,83303,3047638,937973.9,3113.0,2654.0,2439,17788,2292.5,1325485.1,1090788.5,30989,3011416,938663.2,34006.6,33918.0,33438,37823,639.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
78959,78959,0,638,637,1009530.8,118916.0,7593,20039871,2648732.1,3624.7,3069.5,2375,79133,3477.1,983897.7,95592.0,190,19884634,2619841.8,23573.3,5152.0,2400,935129,52368.5,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
78959,78959,0,1,1,864577.0,864577.0,864577,864577,0.0,859065.0,859065.0,859065,859065,0.0,1192.0,1192.0,1192,1192,0.0,4320.0,4320.0,4320,4320,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,44,44,725007.9,157413.5,8409,3067840,959941.0,26963.3,2649.0,2483,1061323,159563.7,681153.7,39455.0,1537,3035648,954714.9,16890.9,17407.5,3232,36478,13648.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
78959,78959,0,22,22,695818.5,822490.0,129324,1481148,518141.8,6786.7,5350.0,4676,34266,6210.6,567809.4,693552.5,2244,1355671,518819.6,121222.5,121099.0,120091,122459,1027.8,cudaLaunchKernel,"void <unnamed>::rope_qk_norm_kernel<c10::Half>(const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, T1 *, T1 *, long, long, long, long, float)"
78959,78959,0,1,1,588746.0,588746.0,588746,588746,0.0,581788.0,581788.0,581788,581788,0.0,1358.0,1358.0,1358,1358,0.0,5600.0,5600.0,5600,5600,0.0,cudaLaunchKernel,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
78959,78959,0,1,1,579008.0,579008.0,579008,579008,0.0,575285.0,575285.0,575285,575285,0.0,1546.0,1546.0,1546,1546,0.0,2177.0,2177.0,2177,2177,0.0,cudaLaunchKernel,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
78959,78959,0,66,66,518829.0,8704.0,7630,3105090,852273.7,2786.9,2538.5,2289,12552,1262.7,499124.5,2939.0,2267,3057049,836989.2,16917.6,2560.0,2272,53278,20555.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
78959,78959,0,22,22,464519.7,62549.5,20281,5369240,1143230.5,246638.6,3364.0,2804,5354557,1140869.6,203927.9,31389.5,1948,882528,330070.9,13953.2,13952.0,12735,14784,352.3,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
78959,78959,0,22,22,436659.9,9307.5,8606,9403475,2002766.7,417906.0,2813.0,2616,9126539,1945100.9,14991.2,2775.5,2316,272584,57534.4,3762.8,3663.5,3648,4415,250.1,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)"
78959,78959,0,44,44,421820.7,94311.0,13894,1582640,501368.4,27073.3,3132.5,2883,1055873,158704.5,380073.8,69859.0,1925,1555106,493727.5,14673.5,14543.5,8416,23071,6109.7,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
