Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
50.3,59918829,1,59918829.0,59918829.0,59918829,59918829,0.0,decode_profile_window
4.5,5320618,1,5320618.0,5320618.0,5320618,5320618,0.0,reference::rope_gqa_decode_b32
3.7,4457423,1,4457423.0,4457423.0,4457423,4457423,0.0,custom::sampling_decode_b32
3.4,4046141,1,4046141.0,4046141.0,4046141,4046141,0.0,reference::sampling_decode_b32
2.5,2959747,1,2959747.0,2959747.0,2959747,2959747,0.0,reference::rms_quant_decode_b32
2.1,2509739,1,2509739.0,2509739.0,2509739,2509739,0.0,reference::kv_append_decode_b32
1.5,1819239,1,1819239.0,1819239.0,1819239,1819239,0.0,reference::residual_rms_decode_b1
1.3,1495617,1,1495617.0,1495617.0,1495617,1495617,0.0,reference::residual_rms_decode_b32
1.2,1402037,1,1402037.0,1402037.0,1402037,1402037,0.0,reference::swiglu_decode_b32
0.9,1125201,1,1125201.0,1125201.0,1125201,1125201,0.0,reference::swiglu_decode_b1
0.7,806932,1,806932.0,806932.0,806932,806932,0.0,custom::residual_rms_decode_b1
0.6,761540,1,761540.0,761540.0,761540,761540,0.0,custom::rope_gqa_decode_b32
0.5,646095,1,646095.0,646095.0,646095,646095,0.0,custom::swiglu_decode_b32
0.5,621533,1,621533.0,621533.0,621533,621533,0.0,custom::residual_rms_decode_b32
0.5,611380,1,611380.0,611380.0,611380,611380,0.0,custom::rms_quant_decode_b32
0.5,574371,1,574371.0,574371.0,574371,574371,0.0,custom::swiglu_decode_b1
0.5,550584,1,550584.0,550584.0,550584,550584,0.0,reference_iteration::rope_gqa_decode_b32::0
0.5,547984,1,547984.0,547984.0,547984,547984,0.0,custom::kv_append_decode_b32
0.4,499393,1,499393.0,499393.0,499393,499393,0.0,custom_iteration::sampling_decode_b32::0
0.4,485379,1,485379.0,485379.0,485379,485379,0.0,reference_iteration::rope_gqa_decode_b32::3
0.4,446744,1,446744.0,446744.0,446744,446744,0.0,custom_iteration::sampling_decode_b32::1
0.4,435214,1,435214.0,435214.0,435214,435214,0.0,reference_iteration::rope_gqa_decode_b32::11
0.4,421837,1,421837.0,421837.0,421837,421837,0.0,reference_iteration::rope_gqa_decode_b32::1
0.4,421008,1,421008.0,421008.0,421008,421008,0.0,reference_iteration::rope_gqa_decode_b32::5
0.4,420328,1,420328.0,420328.0,420328,420328,0.0,reference_iteration::rope_gqa_decode_b32::7
0.4,418669,1,418669.0,418669.0,418669,418669,0.0,custom_iteration::sampling_decode_b32::2
0.4,417350,1,417350.0,417350.0,417350,417350,0.0,reference_iteration::rope_gqa_decode_b32::9
0.4,416806,1,416806.0,416806.0,416806,416806,0.0,reference_iteration::rope_gqa_decode_b32::2
0.3,416600,1,416600.0,416600.0,416600,416600,0.0,reference_iteration::rope_gqa_decode_b32::10
0.3,415555,1,415555.0,415555.0,415555,415555,0.0,reference_iteration::rope_gqa_decode_b32::6
0.3,414922,1,414922.0,414922.0,414922,414922,0.0,reference_iteration::rope_gqa_decode_b32::8
0.3,412970,1,412970.0,412970.0,412970,412970,0.0,reference_iteration::rope_gqa_decode_b32::4
0.3,358617,1,358617.0,358617.0,358617,358617,0.0,custom::small_n_linear_b1
0.3,355260,1,355260.0,355260.0,355260,355260,0.0,custom_iteration::sampling_decode_b32::10
0.3,351386,1,351386.0,351386.0,351386,351386,0.0,reference_iteration::sampling_decode_b32::0
0.3,343239,1,343239.0,343239.0,343239,343239,0.0,custom_iteration::sampling_decode_b32::3
0.3,330746,1,330746.0,330746.0,330746,330746,0.0,custom_iteration::sampling_decode_b32::8
0.3,330457,1,330457.0,330457.0,330457,330457,0.0,custom_iteration::sampling_decode_b32::5
0.3,330298,1,330298.0,330298.0,330298,330298,0.0,custom_iteration::sampling_decode_b32::11
0.3,329448,1,329448.0,329448.0,329448,329448,0.0,reference_iteration::sampling_decode_b32::5
0.3,328951,1,328951.0,328951.0,328951,328951,0.0,reference_iteration::sampling_decode_b32::8
0.3,328789,1,328789.0,328789.0,328789,328789,0.0,reference_iteration::sampling_decode_b32::2
0.3,328424,1,328424.0,328424.0,328424,328424,0.0,reference_iteration::sampling_decode_b32::4
0.3,328082,1,328082.0,328082.0,328082,328082,0.0,reference_iteration::residual_rms_decode_b1::6
0.3,328078,1,328078.0,328078.0,328078,328078,0.0,reference_iteration::sampling_decode_b32::11
0.3,325031,1,325031.0,325031.0,325031,325031,0.0,custom_iteration::sampling_decode_b32::6
0.3,325017,1,325017.0,325017.0,325017,325017,0.0,reference_iteration::sampling_decode_b32::6
0.3,324379,1,324379.0,324379.0,324379,324379,0.0,custom_iteration::sampling_decode_b32::7
0.3,324365,1,324365.0,324365.0,324365,324365,0.0,custom_iteration::sampling_decode_b32::4
0.3,323818,1,323818.0,323818.0,323818,323818,0.0,reference_iteration::sampling_decode_b32::1
0.3,323594,1,323594.0,323594.0,323594,323594,0.0,custom_iteration::sampling_decode_b32::9
0.3,323549,1,323549.0,323549.0,323549,323549,0.0,reference_iteration::sampling_decode_b32::7
0.3,322584,1,322584.0,322584.0,322584,322584,0.0,reference_iteration::sampling_decode_b32::9
0.3,322297,1,322297.0,322297.0,322297,322297,0.0,reference_iteration::sampling_decode_b32::10
0.3,321667,1,321667.0,321667.0,321667,321667,0.0,reference_iteration::sampling_decode_b32::3
0.3,315822,1,315822.0,315822.0,315822,315822,0.0,reference::small_n_linear_b1
0.2,295092,1,295092.0,295092.0,295092,295092,0.0,reference_iteration::rms_quant_decode_b32::9
0.2,268291,1,268291.0,268291.0,268291,268291,0.0,reference_iteration::rms_quant_decode_b32::3
0.2,266513,1,266513.0,266513.0,266513,266513,0.0,reference_iteration::kv_append_decode_b32::0
0.2,246155,1,246155.0,246155.0,246155,246155,0.0,reference_iteration::rms_quant_decode_b32::1
0.2,242917,1,242917.0,242917.0,242917,242917,0.0,reference_iteration::rms_quant_decode_b32::0
0.2,235450,1,235450.0,235450.0,235450,235450,0.0,reference_iteration::rms_quant_decode_b32::11
0.2,234027,1,234027.0,234027.0,234027,234027,0.0,reference_iteration::rms_quant_decode_b32::7
0.2,231924,1,231924.0,231924.0,231924,231924,0.0,reference_iteration::rms_quant_decode_b32::6
0.2,231094,1,231094.0,231094.0,231094,231094,0.0,reference_iteration::rms_quant_decode_b32::8
0.2,229379,1,229379.0,229379.0,229379,229379,0.0,reference_iteration::residual_rms_decode_b1::0
0.2,226712,1,226712.0,226712.0,226712,226712,0.0,reference_iteration::rms_quant_decode_b32::4
0.2,223748,1,223748.0,223748.0,223748,223748,0.0,reference_iteration::rms_quant_decode_b32::5
0.2,214790,1,214790.0,214790.0,214790,214790,0.0,reference_iteration::rms_quant_decode_b32::2
0.2,205239,1,205239.0,205239.0,205239,205239,0.0,reference_iteration::kv_append_decode_b32::2
0.2,200237,1,200237.0,200237.0,200237,200237,0.0,reference_iteration::kv_append_decode_b32::1
0.2,199643,1,199643.0,199643.0,199643,199643,0.0,reference_iteration::rms_quant_decode_b32::10
0.2,198542,1,198542.0,198542.0,198542,198542,0.0,reference_iteration::kv_append_decode_b32::7
0.2,197198,1,197198.0,197198.0,197198,197198,0.0,reference_iteration::kv_append_decode_b32::3
0.2,193740,1,193740.0,193740.0,193740,193740,0.0,reference_iteration::kv_append_decode_b32::4
0.2,193623,1,193623.0,193623.0,193623,193623,0.0,reference_iteration::kv_append_decode_b32::8
0.2,192875,1,192875.0,192875.0,192875,192875,0.0,reference_iteration::kv_append_decode_b32::5
0.2,192565,1,192565.0,192565.0,192565,192565,0.0,reference_iteration::kv_append_decode_b32::11
0.2,192515,1,192515.0,192515.0,192515,192515,0.0,reference_iteration::kv_append_decode_b32::9
0.2,192435,1,192435.0,192435.0,192435,192435,0.0,reference_iteration::kv_append_decode_b32::6
0.2,191879,1,191879.0,191879.0,191879,191879,0.0,reference_iteration::kv_append_decode_b32::10
0.1,175243,1,175243.0,175243.0,175243,175243,0.0,custom_iteration::residual_rms_decode_b1::0
0.1,135418,1,135418.0,135418.0,135418,135418,0.0,reference_iteration::swiglu_decode_b32::0
0.1,133179,1,133179.0,133179.0,133179,133179,0.0,reference_iteration::residual_rms_decode_b32::0
0.1,125191,1,125191.0,125191.0,125191,125191,0.0,reference_iteration::residual_rms_decode_b1::1
0.1,124062,1,124062.0,124062.0,124062,124062,0.0,custom_iteration::rope_gqa_decode_b32::0
0.1,121456,1,121456.0,121456.0,121456,121456,0.0,reference_iteration::residual_rms_decode_b1::5
0.1,121337,1,121337.0,121337.0,121337,121337,0.0,reference_iteration::residual_rms_decode_b32::2
0.1,118536,1,118536.0,118536.0,118536,118536,0.0,reference_iteration::residual_rms_decode_b32::10
0.1,118517,1,118517.0,118517.0,118517,118517,0.0,reference_iteration::residual_rms_decode_b1::11
