Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.2,161072856,3,53690952.0,4803464.0,773568,155495824,88188627.3,cudaDeviceSynchronize
19.7,40119570,253,158575.4,4066.0,1228,8107234,856508.4,cudaLaunchKernel
0.4,718356,128,5612.2,1036.5,920,129577,19017.5,cudaStreamCreateWithPriority
0.3,616216,7,88030.9,87956.0,55381,122546,30054.2,cudaMalloc
0.2,326391,38,8589.2,6463.0,3090,72397,13087.7,cudaMemcpyAsync
0.1,191082,4,47770.5,48127.0,5836,88992,47275.9,cudaStreamSynchronize
0.1,118909,16,7431.8,5792.5,5187,16307,3563.1,cudaGraphLaunch_v10000
0.0,51540,1,51540.0,51540.0,51540,51540,0.0,cudaGraphInstantiateWithFlags_v11040
0.0,44705,50,894.1,596.5,268,7312,1043.5,cudaStreamIsCapturing_v10000
0.0,21688,1,21688.0,21688.0,21688,21688,0.0,cudaGraphExecDestroy_v10000
0.0,7749,17,455.8,437.0,340,810,131.9,cudaStreamGetCaptureInfo_v10010
0.0,5629,2,2814.5,2814.5,2077,3552,1043.0,cudaEventCreateWithFlags
0.0,4833,1,4833.0,4833.0,4833,4833,0.0,cudaStreamBeginCapture_v10000
0.0,4239,2,2119.5,2119.5,1706,2533,584.8,cudaEventRecord
0.0,4145,2,2072.5,2072.5,1966,2179,150.6,cudaStreamWaitEvent
0.0,3573,1,3573.0,3573.0,3573,3573,0.0,cudaGraphDestroy_v10000
0.0,1734,2,867.0,867.0,796,938,100.4,cudaEventDestroy
0.0,1440,1,1440.0,1440.0,1440,1440,0.0,cudaStreamEndCapture_v10000
0.0,1317,2,658.5,658.5,645,672,19.1,cudaThreadExchangeStreamCaptureMode_v10010
0.0,937,1,937.0,937.0,937,937,0.0,cudaGraphGetNodes_v10000
0.0,671,1,671.0,671.0,671,671,0.0,cuModuleGetLoadingMode
