Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
82.7,130139732,12,10844977.7,11057922.5,9759949,11512670,656638.9,   1    8    1,  32    4    1,"fmha_cutlassF_f16_aligned_64x64_rf_sm50(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm50, (bool)1, (int)64, (int)64, (int)64, (bool)1, (bool)1>::Params)"
7.3,11456447,105,109109.0,93852.0,83901,662882,72427.2,   1    1    1, 256    1    1,"void <unnamed>::markov_greedy_kernel<c10::Half>(const T1 *, const long *, const T1 *, const T1 *, T1 *, long *, int, int)"
4.9,7700523,16,481282.7,427581.0,385519,1033298,178600.6,  64    1    1,  32    1    1,"void <unnamed>::paged_attention_split_kernel<c10::Half, c10::Half, (bool)0>(const T1 *, const T2 *, const T2 *, const float *, const float *, const long *, const long *, float *, float *, float *, int, int, int, int, int, int, int, int, float)"
4.2,6662070,12,555172.5,418029.5,380303,1035282,229374.5,  64    1    1,  32    1    1,"void <unnamed>::paged_attention_split_kernel<c10::Half, signed char, (bool)1>(const T1 *, const T2 *, const T2 *, const float *, const float *, const long *, const long *, float *, float *, float *, int, int, int, int, int, int, int, int, float)"
0.2,236695,28,8453.4,9280.0,5119,10783,1956.5,   8    1    1,  32    1    1,"void <unnamed>::paged_attention_reduce_kernel<c10::Half>(const float *, const float *, const float *, T1 *, int, int, int)"
0.1,180440,4,45110.0,44926.0,44158,46430,1098.4, 512    1    1, 128    1    1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,174233,2,87116.5,87116.5,86237,87996,1243.8,2048    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,158904,5,31780.8,34878.0,14752,37534,9626.0,  48    1    1, 256    1    1,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::Half, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.1,111514,2,55757.0,55757.0,55453,56061,429.9, 256    1    1,  32   16    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,95482,15,6365.5,6496.0,5792,6912,348.9,  12    7    1, 512    1    1,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
