PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
27910,27910,0,12,12,84635104.0,85369032.5,11942960,154560554,47325840.7,6657.8,5286.5,5037,19603,4124.0,84073273.7,84945737.0,10888075,153897180,47298558.2,555172.5,418029.5,380303,1035282,229374.5,cudaLaunchKernel,"void <unnamed>::paged_attention_split_kernel<c10::Half, signed char, (bool)1>(const T1 *, const T2 *, const T2 *, const float *, const float *, const long *, const long *, float *, float *, float *, int, int, int, int, int, int, int, int, float)"
27910,27910,0,12,12,83716169.8,84358307.5,11459783,153612532,47220578.0,68842.8,5858.5,5475,757210,216783.0,72802349.3,73293233.0,810,143845932,47703694.6,10844977.7,11057922.5,9759949,11512670,656638.9,cudaLaunchKernel,"fmha_cutlassF_f16_aligned_64x64_rf_sm50(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm50, (bool)1, (int)64, (int)64, (int)64, (bool)1, (bool)1>::Params)"
27910,27910,0,28,28,72607876.3,71844535.0,442086,154564921,51838134.4,3424.1,2411.5,2265,16328,3501.0,72595998.8,71833941.0,418303,154553472,51839275.5,8453.4,9280.0,5119,10783,1956.5,cudaLaunchKernel,"void <unnamed>::paged_attention_reduce_kernel<c10::Half>(const float *, const float *, const float *, T1 *, int, int, int)"
27910,27910,0,15,15,68312684.1,65669217.0,459178,154984614,54556401.6,92270.5,3808.0,3601,1329061,342148.1,68216827.6,65661656.0,3353,154977590,54673682.3,3585.9,3743.0,2848,4288,340.9,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
27910,27910,0,15,15,68219175.4,65663886.0,22719,154978533,54672645.0,4057.7,3261.0,3119,11883,2348.5,68208752.2,65654110.0,4181,154969494,54673887.0,6365.5,6496.0,5792,6912,348.9,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
27910,27910,0,105,105,68061528.2,65477799.0,102529,154999400,53008323.7,15502.7,3990.0,3571,1162063,112973.8,67936916.4,65379980.0,4081,154911317,53023152.5,109109.0,93852.0,83901,662882,72427.2,cudaLaunchKernel,"void <unnamed>::markov_greedy_kernel<c10::Half>(const T1 *, const long *, const T1 *, const T1 *, T1 *, long *, int, int)"
27910,27910,0,16,16,63580209.6,57978767.0,909198,153950933,54650904.8,35686.7,5642.0,5341,477667,117868.6,63063240.3,57544961.0,2270,153559221,54699803.9,481282.7,427581.0,385519,1033298,178600.6,cudaLaunchKernel,"void <unnamed>::paged_attention_split_kernel<c10::Half, c10::Half, (bool)0>(const T1 *, const T2 *, const T2 *, const float *, const float *, const long *, const long *, float *, float *, float *, int, int, int, int, int, int, int, int, float)"
27910,27910,0,2,2,3159924.5,3159924.5,159325,6160524,4243488.5,3042087.5,3042087.5,12238,6071937,4284854.3,62080.0,62080.0,33134,91026,40935.8,55757.0,55757.0,55453,56061,429.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
27910,27910,0,1,1,3114806.0,3114806.0,3114806,3114806,0.0,3080250.0,3080250.0,3080250,3080250,0.0,28412.0,28412.0,28412,28412,0.0,6144.0,6144.0,6144,6144,0.0,cudaLaunchKernel,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned int, (int)4, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned int, uint4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned int) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned int) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
27910,27910,0,2,2,2230738.0,2230738.0,81471,4380005,3039522.5,2179102.0,2179102.0,2784,4355420,3077778.4,29636.5,29636.5,2793,56480,37962.4,21999.5,21999.5,21792,22207,293.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::round_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
