Name,Projected Start (ns),Projected Duration (ns),Orig Start (ns),Orig Duration (ns),Style,PID,TID,NumGPUOps,Lvl,NumChild,RangeId,ParentId,RangeStack
rank3/dense_sdpa/S2048,1631502672,10701763,1630615328,916974,PushPop,27910,27910,1,0,0,1,None,:1
rank3/paged_fp16/S2048/split8,1642205203,435245,1631543772,157150,PushPop,27910,27910,2,0,0,2,None,:2
rank3/paged_int8/S2048/split8,1642644480,1045969,1631705029,75668,PushPop,27910,27910,2,0,0,3,None,:3
rank4/dspark_eager/B1_K7_V4096_R64,1643691057,730271,1631784508,444237,PushPop,27910,27910,9,0,0,4,None,:4
rank4/dspark_graph/B1_K7_V4096_R64,1644421937,5695,1632235307,87044,PushPop,27910,27910,2,0,0,5,None,:5
rank3/dense_sdpa/S2048,1645077971,11469857,1632328411,75080,PushPop,27910,27910,1,0,0,6,None,:6
rank3/paged_fp16/S2048/split8,1656548596,438444,1632410535,110973,PushPop,27910,27910,2,0,0,7,None,:7
rank3/paged_int8/S2048/split8,1656987616,420398,1632525909,76960,PushPop,27910,27910,2,0,0,8,None,:8
rank4/dspark_eager/B1_K7_V4096_R64,1657408590,731263,1632606586,256901,PushPop,27910,27910,9,0,0,9,None,:9
rank4/dspark_graph/B1_K7_V4096_R64,1658140333,5728,1632867636,43338,PushPop,27910,27910,2,0,0,10,None,:10
rank3/dense_sdpa/S2048,1659152192,10702947,1632914279,45149,PushPop,27910,27910,1,0,0,11,None,:11
rank3/paged_fp16/S2048/split8,1669855971,1043985,1632962931,65096,PushPop,27910,27910,2,0,0,12,None,:12
rank3/paged_int8/S2048/split8,1670900436,424973,1633031187,56394,PushPop,27910,27910,2,0,0,13,None,:13
rank4/dspark_eager/B1_K7_V4096_R64,1671326017,730144,1633091648,296738,PushPop,27910,27910,9,0,0,14,None,:14
rank4/dspark_graph/B1_K7_V4096_R64,1672056769,5728,1633392523,39948,PushPop,27910,27910,2,0,0,15,None,:15
rank3/dense_sdpa/S2048,1672713380,11512670,1633435556,43190,PushPop,27910,27910,1,0,0,16,None,:16
rank3/paged_fp16/S2048/split8,1684226882,438957,1633482145,79156,PushPop,27910,27910,2,0,0,17,None,:17
rank3/paged_int8/S2048/split8,1684666415,421837,1633564682,68786,PushPop,27910,27910,2,0,0,18,None,:18
rank4/dspark_eager/B1_K7_V4096_R64,1685088796,1324293,1633636482,279564,PushPop,27910,27910,9,0,0,19,None,:19
rank4/dspark_graph/B1_K7_V4096_R64,1686413601,6112,1633920027,38198,PushPop,27910,27910,2,0,0,20,None,:20
rank3/dense_sdpa/S2048,1687071140,11361189,1633961348,42866,PushPop,27910,27910,1,0,0,21,None,:21
rank3/paged_fp16/S2048/split8,1698433097,438157,1634007590,62664,PushPop,27910,27910,2,0,0,22,None,:22
rank3/paged_int8/S2048/split8,1698871862,422637,1634073515,52189,PushPop,27910,27910,2,0,0,23,None,:23
rank4/dspark_eager/B1_K7_V4096_R64,1699295011,730559,1634128681,249467,PushPop,27910,27910,9,0,0,24,None,:24
rank4/dspark_graph/B1_K7_V4096_R64,1700026050,5728,1634382153,37607,PushPop,27910,27910,2,0,0,25,None,:25
rank3/dense_sdpa/S2048,1701136561,10911481,1634422803,41913,PushPop,27910,27910,1,0,0,26,None,:26
rank3/paged_fp16/S2048/split8,1712048778,959189,1634468022,61290,PushPop,27910,27910,2,0,0,27,None,:27
rank3/paged_int8/S2048/split8,1713008576,423693,1634532511,53431,PushPop,27910,27910,2,0,0,28,None,:28
rank4/dspark_eager/B1_K7_V4096_R64,1713432749,732575,1634588957,242211,PushPop,27910,27910,9,0,0,29,None,:29
rank4/dspark_graph/B1_K7_V4096_R64,1714165804,5728,1634835030,37833,PushPop,27910,27910,2,0,0,30,None,:30
rank3/dense_sdpa/S2048,1714823119,11207116,1634879278,42501,PushPop,27910,27910,1,0,0,31,None,:31
rank3/paged_fp16/S2048/split8,1726031067,439436,1634925137,61055,PushPop,27910,27910,2,0,0,32,None,:32
rank3/paged_int8/S2048/split8,1726471015,424814,1634989304,52713,PushPop,27910,27910,2,0,0,33,None,:33
rank4/dspark_eager/B1_K7_V4096_R64,1726896436,1157261,1635045020,248709,PushPop,27910,27910,9,0,0,34,None,:34
rank4/dspark_graph/B1_K7_V4096_R64,1728054273,6336,1635297628,37870,PushPop,27910,27910,2,0,0,35,None,:35
rank3/dense_sdpa/S2048,1728727683,11204364,1635338546,41858,PushPop,27910,27910,1,0,0,36,None,:36
rank3/paged_fp16/S2048/split8,1739932879,828828,1635383532,60617,PushPop,27910,27910,2,0,0,37,None,:37
rank3/paged_int8/S2048/split8,1740762282,421966,1635447224,53182,PushPop,27910,27910,2,0,0,38,None,:38
rank4/dspark_eager/B1_K7_V4096_R64,1741184856,730623,1635503406,244465,PushPop,27910,27910,9,0,0,39,None,:39
rank4/dspark_graph/B1_K7_V4096_R64,1741915959,5728,1635751785,37912,PushPop,27910,27910,2,0,0,40,None,:40
rank3/dense_sdpa/S2048,1742573402,11470913,1635792745,42439,PushPop,27910,27910,1,0,0,41,None,:41
rank3/paged_fp16/S2048/split8,1754045146,422222,1635838450,61323,PushPop,27910,27910,2,0,0,42,None,:42
rank3/paged_int8/S2048/split8,1754467816,385966,1635902862,53180,PushPop,27910,27910,2,0,0,43,None,:43
rank4/dspark_eager/B1_K7_V4096_R64,1754854262,776126,1635959041,248655,PushPop,27910,27910,9,0,0,44,None,:44
